OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
346687,232761604,10/3/2023 10:27:42 PM,10/3/2023 9:52:00 PM,10/3/2023 10:00:00 PM,Tuesday,3,2,207,I 75 SB EXPY NW / NORTHSIDE DR NW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.407802,33.802674,Loring Heights,E,8,Part II,,b2b3f727-4522-4820-80e7-7e8bdc811421,-84.4078019999999,33.802674
346859,232761496,10/3/2023 10:30:46 PM,10/3/2023 9:13:00 PM,10/3/2023 10:15:00 PM,Tuesday,3,1,103,1331 MARIETTA BLVD NW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.429267,33.791197,Blandtown,D,9,Part II,,0d63c8fe-692e-429f-adeb-829fe708940a,-84.429267,33.7911970000001
350840,232760926,10/3/2023 10:31:55 PM,10/2/2023 4:00:00 PM,10/3/2023 5:00:00 AM,Monday,2,3,313,3450 FORREST PARK RD SE,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.355502,33.660779,South River Gardens,Z,12,Part I,1,6f914a03-6c2d-4740-891f-55df7cfb8542,-84.3555019999999,33.660779
350965,232761662,10/3/2023 10:34:15 PM,10/3/2023 10:19:00 PM,10/3/2023 10:34:00 PM,Tuesday,3,3,306,2095 METROPOLITAN PKWY SW,Service/ Gas Station,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.408401,33.697533,Sylvan Hills,X,12,Part II,,28cc36f5-5fb7-4354-b888-f8e771fe012b,-84.408401,33.6975330000001
346860,232761680,10/3/2023 10:40:35 PM,10/2/2023 1:45:00 AM,10/3/2023 10:40:00 PM,Sunday,1,3,302,1086 MCDANIEL ST SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.401449,33.725251,Pittsburgh,V,12,Part I,1,ba50cf8d-e1f2-49e2-ae5e-80ffabe7708c,-84.401449,33.7252510000001
345411,232761601,10/3/2023 10:48:26 PM,10/3/2023 9:51:00 PM,10/3/2023 10:48:00 PM,Tuesday,3,5,511,15 PEACHTREE ST SE,Highway/ Road/ Alley/ Street/ Sidewalk,520,Weapon Law Violations,SOCIETY,Y,,,Evening Watch,-84.389857,33.753985,Downtown,M,2,Part II,,b5d33ae0-5a70-4643-b9cd-28cc65cf90ac,-84.3898569999999,33.7539850000001
346363,232761570,10/3/2023 10:51:04 PM,10/3/2023 9:38:00 PM,10/3/2023 10:55:00 PM,Tuesday,3,4,402,1294 DONNELLY AVE SW,Convenience Store,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.430031,33.734531,West End,T,4,Part II,,a55efbd1-80fe-47b2-85ce-57f4ed402b12,-84.430031,33.7345310000001
346377,232761678,10/3/2023 10:59:37 PM,10/3/2023 10:15:00 PM,10/3/2023 10:22:00 PM,Tuesday,3,5,505,75 PONCE DE LEON AVE NE,Commercial/ Office Building,23C,Shoplifting,PROPERTY,N,,,Evening Watch,-84.384405,33.771991,Midtown,E,2,Part I,,9c7912ec-9300-45f3-a067-f776cf5e9043,-84.384405,33.7719910000001
346655,232761611,10/3/2023 11:25:09 PM,10/3/2023 12:09:00 PM,10/3/2023 10:17:00 PM,Tuesday,3,4,409,2909 CAMPBELLTON RD SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.483531,33.700808,Southwest,R,11,Part I,1,b0d4de7b-aba5-455f-8b7e-18f8d7821853,-84.483531,33.7008080000001
346688,232761581,10/3/2023 11:48:59 PM,10/3/2023 9:00:00 PM,10/3/2023 9:35:00 PM,Tuesday,3,2,210,3393 PEACHTREE RD NE,Department/ Discount/ Store,23C,Shoplifting,PROPERTY,N,,,Evening Watch,-84.362119,33.84676,Lenox,B,7,Part I,3,c050376b-c4dd-4ccd-89c7-eee94902bd58,-84.362119,33.8467600000001
346861,232761705,10/3/2023 11:55:20 PM,10/3/2023 10:39:00 PM,10/4/2023 1:08:00 AM,Tuesday,3,4,402,1450 DONNELLY AVE SW,Service/ Gas Station,35B,Drug Equipment Violations,SOCIETY,Y,,,Evening Watch,-84.434939,33.737777,West End,T,4,Part II,,27c6ebcf-1fd0-4957-81b6-c3a0a2de740e,-84.434939,33.7377770000001
346862,232761705,10/3/2023 11:55:20 PM,10/3/2023 10:39:00 PM,10/4/2023 1:03:00 AM,Tuesday,3,4,402,1450 DONNELLY AVE SW,Service/ Gas Station,35A,Drug/Narcotic Violations,SOCIETY,Y,,,Evening Watch,-84.434939,33.737777,West End,T,4,Part II,,da65861f-66b9-4d72-937c-05933ad1a4fc,-84.434939,33.7377770000001
346863,232761705,10/3/2023 11:55:20 PM,10/3/2023 10:39:00 PM,10/4/2023 1:11:00 AM,Tuesday,3,4,402,1450 DONNELLY AVE SW,Service/ Gas Station,520,Weapon Law Violations,SOCIETY,Y,,,Evening Watch,-84.434939,33.737777,West End,T,4,Part II,,5397a5a2-7857-4069-9293-6df80dab7c62,-84.434939,33.7377770000001
346864,232761697,10/3/2023 11:56:31 PM,10/3/2023 10:32:00 PM,10/3/2023 11:00:00 PM,Tuesday,3,5,501,375 18TH ST NW,Department/ Discount/ Store,23C,Shoplifting,PROPERTY,N,,,Evening Watch,-84.399207,33.793027,Atlantic Station,E,3,Part I,,85c5565b-60d1-47b8-a375-2a989c49ba8e,-84.399207,33.7930270000001
345875,232761631,10/4/2023 12:01:32 AM,10/3/2023 10:02:00 PM,10/4/2023 12:03:00 AM,Tuesday,3,6,612,1631 GLENWOOD AVE SE,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.334438,33.739787,East Atlanta,W,5,Part I,1,5bc96746-3418-4ef1-b82b-ded7ab0ed9d9,-84.334438,33.739787
346656,232761776,10/4/2023 12:05:35 AM,10/3/2023 9:23:00 PM,10/3/2023 11:00:00 PM,Tuesday,3,2,210,3393 PEACHTREE RD NE,Parking/ Drop Lot/ Garage,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.362279,33.846108,Lenox,B,7,Part II,1,0a60371d-7832-4c3f-95ea-5de47de231cb,-84.3622789999999,33.8461080000001
345876,232761528,10/4/2023 12:06:41 AM,10/3/2023 9:23:00 PM,10/4/2023 12:06:00 AM,Tuesday,3,5,511,65 PRYOR ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Evening Watch,-84.390013,33.752801,Downtown,M,4,Part II,,8deaab51-871a-40eb-ae3a-372517c85d79,-84.390013,33.752801
346364,232761240,10/4/2023 12:11:28 AM,10/3/2023 4:00:00 AM,10/3/2023 4:00:00 AM,Tuesday,3,6,612,400 PATTERSON AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,35A,Drug/Narcotic Violations,SOCIETY,N,,,Morning Watch,-84.342811,33.742513,East Atlanta,W,5,Part II,,78671e7c-57a1-4616-8911-6069d97e272e,-84.342811,33.742513
350841,232761774,10/4/2023 12:13:43 AM,10/3/2023 11:21:00 PM,10/4/2023 12:00:00 AM,Tuesday,3,3,303,226 RALPH DAVID ABERNATHY BLVD SW,Department/ Discount/ Store,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.395536,33.73664,Mechanicsville,V,4,Part I,,d51274b5-db04-43f3-a7e6-ee803ed97d25,-84.3955359999999,33.7366400000001
